Date,Product_Name,Product_ID,Category,Unit_Price,Units_Sold,Supplier_ID,Lead_Time_Days,On_Time_Delivery_Rate,Unit_of_Measure
3/6/2020,SS316 Stainless Steel,M001,Metals,2.56,177,S001,10,0.95,kg
3/7/2020,SS316 Stainless Steel,M001,Metals,2.49,150,S001,10,0.95,kg
3/8/2020,SS316 Stainless Steel,M001,Metals,2.58,159,S007,10,0.8,kg
3/9/2020,SS316 Stainless Steel,M001,Metals,2.5,128,S010,10,0.6,kg
3/10/2020,SS316 Stainless Steel,M001,Metals,2.53,145,S002,10,0.9,kg
3/11/2020,SS316 Stainless Steel,M001,Metals,2.51,156,S009,10,0.87,kg
3/12/2020,SS316 Stainless Steel,M001,Metals,2.52,169,S008,10,0.96,kg
3/13/2020,SS316 Stainless Steel,M001,Metals,2.49,155,S006,10,0.88,kg
3/14/2020,SS316 Stainless Steel,M001,Metals,2.52,133,S002,10,0.9,kg
3/15/2020,SS316 Stainless Steel,M001,Metals,2.45,147,S005,10,0.92,kg
3/16/2020,SS316 Stainless Steel,M001,Metals,2.54,125,S007,10,0.8,kg
3/17/2020,SS316 Stainless Steel,M001,Metals,2.55,167,S005,10,0.92,kg
3/18/2020,SS316 Stainless Steel,M001,Metals,2.5,150,S006,10,0.88,kg
3/19/2020,SS316 Stainless Steel,M001,Metals,2.46,148,S009,10,0.54,kg
3/20/2020,SS316 Stainless Steel,M001,Metals,2.42,107,S003,10,0.58,kg
3/21/2020,SS316 Stainless Steel,M001,Metals,2.5,152,S007,10,0.8,kg
3/22/2020,SS316 Stainless Steel,M001,Metals,2.48,154,S005,10,0.92,kg
3/23/2020,SS316 Stainless Steel,M001,Metals,2.45,137,S007,10,0.8,kg
3/24/2020,SS316 Stainless Steel,M001,Metals,2.43,119,S009,10,0.87,kg
3/25/2020,SS316 Stainless Steel,M001,Metals,2.43,133,S010,10,0.75,kg
3/26/2020,SS316 Stainless Steel,M001,Metals,2.48,116,S005,10,0.65,kg
3/27/2020,SS316 Stainless Steel,M001,Metals,2.5,130,S005,10,0.92,kg
3/28/2020,SS316 Stainless Steel,M001,Metals,2.5,122,S004,10,0.98,kg
3/29/2020,SS316 Stainless Steel,M001,Metals,2.64,126,S010,10,0.75,kg
3/30/2020,SS316 Stainless Steel,M001,Metals,2.51,148,S007,10,0.8,kg
3/31/2020,SS316 Stainless Steel,M001,Metals,2.53,168,S002,10,0.9,kg
4/1/2020,SS316 Stainless Steel,M001,Metals,2.49,121,S009,10,0.87,kg
4/2/2020,SS316 Stainless Steel,M001,Metals,2.42,132,S005,10,0.92,kg
4/3/2020,SS316 Stainless Steel,M001,Metals,2.47,161,S008,10,0.96,kg
4/4/2020,SS316 Stainless Steel,M001,Metals,2.58,171,S006,10,0.88,kg
4/5/2020,SS316 Stainless Steel,M001,Metals,2.45,112,S007,10,0.8,kg
4/6/2020,SS316 Stainless Steel,M001,Metals,2.5,148,S010,10,0.75,kg
4/7/2020,SS316 Stainless Steel,M001,Metals,2.5,156,S010,10,0.75,kg
4/8/2020,SS316 Stainless Steel,M001,Metals,2.57,182,S007,10,0.8,kg
4/9/2020,SS316 Stainless Steel,M001,Metals,2.52,149,S009,10,0.76,kg
4/10/2020,SS316 Stainless Steel,M001,Metals,2.52,128,S007,10,0.53,kg
4/11/2020,SS316 Stainless Steel,M001,Metals,2.49,152,S007,10,0.8,kg
4/12/2020,SS316 Stainless Steel,M001,Metals,2.38,150,S003,10,0.85,kg
4/13/2020,SS316 Stainless Steel,M001,Metals,2.47,151,S010,10,0.64,kg
4/14/2020,SS316 Stainless Steel,M001,Metals,2.49,149,S001,10,0.95,kg
4/15/2020,SS316 Stainless Steel,M001,Metals,2.5,149,S004,10,0.98,kg
4/16/2020,SS316 Stainless Steel,M001,Metals,2.46,120,S004,10,0.98,kg
4/17/2020,SS316 Stainless Steel,M001,Metals,2.42,161,S010,10,0.75,kg
4/18/2020,SS316 Stainless Steel,M001,Metals,2.53,145,S005,10,0.92,kg
4/19/2020,SS316 Stainless Steel,M001,Metals,2.48,272,S004,10,0.98,kg
4/20/2020,SS316 Stainless Steel,M001,Metals,2.49,146,S009,10,0.87,kg
4/21/2020,SS316 Stainless Steel,M001,Metals,2.41,192,S006,10,0.88,kg
4/22/2020,SS316 Stainless Steel,M001,Metals,2.48,114,S004,10,0.98,kg
4/23/2020,SS316 Stainless Steel,M001,Metals,2.53,140,S010,10,0.75,kg
4/24/2020,SS316 Stainless Steel,M001,Metals,2.51,122,S009,10,0.87,kg
4/25/2020,SS316 Stainless Steel,M001,Metals,2.47,128,S004,10,0.98,kg
4/26/2020,SS316 Stainless Steel,M001,Metals,2.47,122,S008,10,0.86,kg
4/27/2020,SS316 Stainless Steel,M001,Metals,2.48,156,S005,10,0.92,kg
4/28/2020,SS316 Stainless Steel,M001,Metals,2.51,151,S004,10,0.98,kg
4/29/2020,SS316 Stainless Steel,M001,Metals,2.51,144,S008,10,0.96,kg
4/30/2020,SS316 Stainless Steel,M001,Metals,2.52,134,S005,10,0.92,kg
5/1/2020,SS316 Stainless Steel,M001,Metals,2.52,124,S008,10,0.96,kg
5/2/2020,SS316 Stainless Steel,M001,Metals,2.48,109,S010,10,0.75,kg
5/3/2020,SS316 Stainless Steel,M001,Metals,2.56,153,S006,10,0.88,kg
5/4/2020,SS316 Stainless Steel,M001,Metals,2.51,125,S004,10,0.98,kg
5/5/2020,SS316 Stainless Steel,M001,Metals,2.44,135,S006,10,0.88,kg
5/6/2020,SS316 Stainless Steel,M001,Metals,2.49,142,S010,10,0.75,kg
5/7/2020,SS316 Stainless Steel,M001,Metals,2.5,165,S002,10,0.9,kg
5/8/2020,SS316 Stainless Steel,M001,Metals,2.52,160,S009,10,0.46,kg
5/9/2020,SS316 Stainless Steel,M001,Metals,2.46,173,S006,10,0.88,kg
5/10/2020,SS316 Stainless Steel,M001,Metals,2.38,168,S001,10,0.95,kg
5/11/2020,SS316 Stainless Steel,M001,Metals,2.55,173,S003,10,0.85,kg
5/12/2020,SS316 Stainless Steel,M001,Metals,2.47,144,S003,10,0.85,kg
5/13/2020,SS316 Stainless Steel,M001,Metals,2.37,170,S001,10,0.95,kg
5/14/2020,SS316 Stainless Steel,M001,Metals,2.46,115,S001,10,0.95,kg
5/15/2020,SS316 Stainless Steel,M001,Metals,2.51,146,S008,10,0.7,kg
5/16/2020,SS316 Stainless Steel,M001,Metals,2.42,124,S008,10,0.96,kg
5/17/2020,SS316 Stainless Steel,M001,Metals,2.42,133,S001,10,0.95,kg
5/18/2020,SS316 Stainless Steel,M001,Metals,2.46,133,S005,10,0.92,kg
5/19/2020,SS316 Stainless Steel,M001,Metals,2.48,127,S006,10,0.88,kg
5/20/2020,SS316 Stainless Steel,M001,Metals,2.45,149,S009,10,0.87,kg
5/21/2020,SS316 Stainless Steel,M001,Metals,2.46,139,S003,10,0.48,kg
5/22/2020,SS316 Stainless Steel,M001,Metals,2.52,153,S001,10,0.95,kg
5/23/2020,SS316 Stainless Steel,M001,Metals,2.48,111,S009,10,0.87,kg
5/24/2020,SS316 Stainless Steel,M001,Metals,2.4,120,S004,10,0.98,kg
5/25/2020,SS316 Stainless Steel,M001,Metals,2.54,139,S003,10,0.85,kg
5/26/2020,SS316 Stainless Steel,M001,Metals,2.47,114,S009,10,0.87,kg
5/27/2020,SS316 Stainless Steel,M001,Metals,2.43,133,S001,10,0.95,kg
5/28/2020,SS316 Stainless Steel,M001,Metals,2.47,94,S004,10,0.98,kg
5/29/2020,SS316 Stainless Steel,M001,Metals,2.41,141,S010,10,0.75,kg
5/30/2020,SS316 Stainless Steel,M001,Metals,2.48,142,S001,10,0.95,kg
5/31/2020,SS316 Stainless Steel,M001,Metals,2.5,122,S010,10,0.75,kg
6/1/2020,SS316 Stainless Steel,M001,Metals,2.41,115,S001,10,0.95,kg
6/2/2020,SS316 Stainless Steel,M001,Metals,2.42,158,S007,10,0.8,kg
6/3/2020,SS316 Stainless Steel,M001,Metals,2.41,135,S007,10,0.8,kg
6/4/2020,SS316 Stainless Steel,M001,Metals,2.47,129,S005,10,0.92,kg
6/5/2020,SS316 Stainless Steel,M001,Metals,2.42,129,S009,10,0.59,kg
6/6/2020,SS316 Stainless Steel,M001,Metals,2.41,168,S001,10,0.95,kg
6/7/2020,SS316 Stainless Steel,M001,Metals,2.44,142,S009,10,0.87,kg
6/8/2020,SS316 Stainless Steel,M001,Metals,2.42,143,S009,10,0.47,kg
6/9/2020,SS316 Stainless Steel,M001,Metals,2.43,103,S003,10,0.85,kg
6/10/2020,SS316 Stainless Steel,M001,Metals,2.39,148,S003,10,0.85,kg
6/11/2020,SS316 Stainless Steel,M001,Metals,2.46,123,S002,10,0.9,kg
6/12/2020,SS316 Stainless Steel,M001,Metals,2.41,132,S006,10,0.88,kg
6/13/2020,SS316 Stainless Steel,M001,Metals,2.42,160,S003,10,0.85,kg
6/14/2020,SS316 Stainless Steel,M001,Metals,2.44,130,S010,10,0.75,kg
6/15/2020,SS316 Stainless Steel,M001,Metals,2.53,307,S004,10,0.98,kg
6/16/2020,SS316 Stainless Steel,M001,Metals,2.47,88,S003,10,0.85,kg
6/17/2020,SS316 Stainless Steel,M001,Metals,2.4,132,S006,10,0.88,kg
6/18/2020,SS316 Stainless Steel,M001,Metals,2.37,161,S005,10,0.92,kg
6/19/2020,SS316 Stainless Steel,M001,Metals,2.45,125,S008,10,0.96,kg
6/20/2020,SS316 Stainless Steel,M001,Metals,2.41,140,S005,10,0.46,kg
6/21/2020,SS316 Stainless Steel,M001,Metals,2.42,138,S004,10,0.98,kg
6/22/2020,SS316 Stainless Steel,M001,Metals,2.42,115,S002,10,0.9,kg
6/23/2020,SS316 Stainless Steel,M001,Metals,2.43,116,S009,10,0.87,kg
6/24/2020,SS316 Stainless Steel,M001,Metals,2.42,109,S008,10,0.96,kg
6/25/2020,SS316 Stainless Steel,M001,Metals,2.41,108,S002,10,0.9,kg
6/26/2020,SS316 Stainless Steel,M001,Metals,2.33,122,S004,10,0.98,kg
6/27/2020,SS316 Stainless Steel,M001,Metals,2.44,112,S006,10,0.88,kg
6/28/2020,SS316 Stainless Steel,M001,Metals,2.46,152,S010,10,0.42,kg
6/29/2020,SS316 Stainless Steel,M001,Metals,2.39,106,S009,10,0.87,kg
6/30/2020,SS316 Stainless Steel,M001,Metals,2.47,143,S010,10,0.75,kg
7/1/2020,SS316 Stainless Steel,M001,Metals,2.39,127,S007,10,0.8,kg
7/2/2020,SS316 Stainless Steel,M001,Metals,2.38,160,S008,10,0.96,kg
7/3/2020,SS316 Stainless Steel,M001,Metals,2.38,131,S002,10,0.65,kg
7/4/2020,SS316 Stainless Steel,M001,Metals,2.41,138,S008,10,0.96,kg
7/5/2020,SS316 Stainless Steel,M001,Metals,2.4,138,S002,10,0.9,kg
7/6/2020,SS316 Stainless Steel,M001,Metals,2.3,143,S009,10,0.77,kg
7/7/2020,SS316 Stainless Steel,M001,Metals,2.44,127,S005,10,0.92,kg
7/8/2020,SS316 Stainless Steel,M001,Metals,2.4,122,S001,10,0.95,kg
7/9/2020,SS316 Stainless Steel,M001,Metals,2.33,122,S001,10,0.95,kg
7/10/2020,SS316 Stainless Steel,M001,Metals,2.29,163,S009,10,0.87,kg
7/11/2020,SS316 Stainless Steel,M001,Metals,2.32,114,S002,10,0.9,kg
7/12/2020,SS316 Stainless Steel,M001,Metals,2.43,115,S010,10,0.75,kg
7/13/2020,SS316 Stainless Steel,M001,Metals,2.37,167,S005,10,0.92,kg
7/14/2020,SS316 Stainless Steel,M001,Metals,2.41,114,S005,10,0.92,kg
7/15/2020,SS316 Stainless Steel,M001,Metals,2.47,110,S010,10,0.75,kg
7/16/2020,SS316 Stainless Steel,M001,Metals,2.32,119,S010,10,0.75,kg
7/17/2020,SS316 Stainless Steel,M001,Metals,2.32,119,S007,10,0.54,kg
7/18/2020,SS316 Stainless Steel,M001,Metals,2.37,126,S009,10,0.87,kg
7/19/2020,SS316 Stainless Steel,M001,Metals,2.39,129,S002,10,0.9,kg
7/20/2020,SS316 Stainless Steel,M001,Metals,2.41,142,S008,10,0.96,kg
7/21/2020,SS316 Stainless Steel,M001,Metals,2.33,118,S007,10,0.8,kg
7/22/2020,SS316 Stainless Steel,M001,Metals,2.34,112,S006,10,0.88,kg
7/23/2020,SS316 Stainless Steel,M001,Metals,2.44,107,S004,10,0.98,kg
7/24/2020,SS316 Stainless Steel,M001,Metals,2.39,183,S004,10,0.98,kg
7/25/2020,SS316 Stainless Steel,M001,Metals,2.39,131,S005,10,0.67,kg
7/26/2020,SS316 Stainless Steel,M001,Metals,2.35,106,S007,10,0.71,kg
7/27/2020,SS316 Stainless Steel,M001,Metals,2.44,125,S009,10,0.87,kg
7/28/2020,SS316 Stainless Steel,M001,Metals,2.42,100,S006,10,0.88,kg
7/29/2020,SS316 Stainless Steel,M001,Metals,2.37,120,S009,10,0.87,kg
7/30/2020,SS316 Stainless Steel,M001,Metals,2.3,125,S006,10,0.88,kg
7/31/2020,SS316 Stainless Steel,M001,Metals,2.42,126,S001,10,0.95,kg
8/1/2020,SS316 Stainless Steel,M001,Metals,2.34,124,S006,10,0.88,kg
8/2/2020,SS316 Stainless Steel,M001,Metals,2.32,146,S006,10,0.88,kg
8/3/2020,SS316 Stainless Steel,M001,Metals,2.37,126,S001,10,0.95,kg
8/4/2020,SS316 Stainless Steel,M001,Metals,2.34,139,S005,10,0.92,kg
8/5/2020,SS316 Stainless Steel,M001,Metals,2.3,123,S007,10,0.8,kg
8/6/2020,SS316 Stainless Steel,M001,Metals,2.36,127,S002,10,0.9,kg
8/7/2020,SS316 Stainless Steel,M001,Metals,2.33,125,S009,10,0.87,kg
8/8/2020,SS316 Stainless Steel,M001,Metals,2.36,135,S008,10,0.96,kg
8/9/2020,SS316 Stainless Steel,M001,Metals,2.32,104,S004,10,0.98,kg
8/10/2020,SS316 Stainless Steel,M001,Metals,2.34,146,S004,10,0.98,kg
8/11/2020,SS316 Stainless Steel,M001,Metals,2.38,107,S004,10,0.98,kg
8/12/2020,SS316 Stainless Steel,M001,Metals,2.38,109,S001,10,0.95,kg
8/13/2020,SS316 Stainless Steel,M001,Metals,2.29,137,S008,10,0.96,kg
8/14/2020,SS316 Stainless Steel,M001,Metals,2.36,101,S007,10,0.8,kg
8/15/2020,SS316 Stainless Steel,M001,Metals,2.29,91,S007,10,0.8,kg
8/16/2020,SS316 Stainless Steel,M001,Metals,2.35,96,S005,10,0.92,kg
8/17/2020,SS316 Stainless Steel,M001,Metals,2.31,103,S002,10,0.9,kg
8/18/2020,SS316 Stainless Steel,M001,Metals,2.25,98,S010,10,0.75,kg
8/19/2020,SS316 Stainless Steel,M001,Metals,2.33,107,S007,10,0.8,kg
8/20/2020,SS316 Stainless Steel,M001,Metals,2.36,85,S010,10,0.47,kg
8/21/2020,SS316 Stainless Steel,M001,Metals,2.34,115,S008,10,0.96,kg
8/22/2020,SS316 Stainless Steel,M001,Metals,2.28,66,S009,10,0.87,kg
8/23/2020,SS316 Stainless Steel,M001,Metals,2.33,113,S010,10,0.75,kg
8/24/2020,SS316 Stainless Steel,M001,Metals,2.31,100,S003,10,0.85,kg
8/25/2020,SS316 Stainless Steel,M001,Metals,2.35,105,S009,10,0.87,kg
8/26/2020,SS316 Stainless Steel,M001,Metals,2.36,129,S005,10,0.92,kg
8/27/2020,SS316 Stainless Steel,M001,Metals,2.26,103,S006,10,0.88,kg
8/28/2020,SS316 Stainless Steel,M001,Metals,2.32,126,S008,10,0.96,kg
8/29/2020,SS316 Stainless Steel,M001,Metals,2.27,120,S002,10,0.9,kg
8/30/2020,SS316 Stainless Steel,M001,Metals,2.32,128,S009,10,0.87,kg
8/31/2020,SS316 Stainless Steel,M001,Metals,2.25,110,S008,10,0.96,kg
9/1/2020,SS316 Stainless Steel,M001,Metals,2.27,101,S004,10,0.98,kg
9/2/2020,SS316 Stainless Steel,M001,Metals,2.28,113,S001,10,0.95,kg
9/3/2020,SS316 Stainless Steel,M001,Metals,2.17,102,S009,10,0.67,kg
9/4/2020,SS316 Stainless Steel,M001,Metals,2.26,123,S004,10,0.98,kg
9/5/2020,SS316 Stainless Steel,M001,Metals,2.2,139,S009,10,0.87,kg
9/6/2020,SS316 Stainless Steel,M001,Metals,2.31,121,S005,10,0.92,kg
9/7/2020,SS316 Stainless Steel,M001,Metals,2.18,318,S007,10,0.8,kg
9/8/2020,SS316 Stainless Steel,M001,Metals,2.26,97,S009,10,0.87,kg
9/9/2020,SS316 Stainless Steel,M001,Metals,2.33,147,S003,10,0.85,kg
9/10/2020,SS316 Stainless Steel,M001,Metals,2.22,125,S008,10,0.96,kg
9/11/2020,SS316 Stainless Steel,M001,Metals,2.24,308,S006,10,0.88,kg
9/12/2020,SS316 Stainless Steel,M001,Metals,2.27,128,S002,10,0.9,kg
9/13/2020,SS316 Stainless Steel,M001,Metals,2.27,93,S003,10,0.85,kg
9/14/2020,SS316 Stainless Steel,M001,Metals,2.17,132,S006,10,0.88,kg
9/15/2020,SS316 Stainless Steel,M001,Metals,2.26,80,S009,10,0.87,kg
9/16/2020,SS316 Stainless Steel,M001,Metals,2.3,116,S007,10,0.8,kg
9/17/2020,SS316 Stainless Steel,M001,Metals,2.37,82,S002,10,0.9,kg
9/18/2020,SS316 Stainless Steel,M001,Metals,2.24,72,S005,10,0.92,kg
9/19/2020,SS316 Stainless Steel,M001,Metals,2.26,76,S002,10,0.9,kg
9/20/2020,SS316 Stainless Steel,M001,Metals,2.29,100,S005,10,0.92,kg
9/21/2020,SS316 Stainless Steel,M001,Metals,2.23,92,S010,10,0.75,kg
9/22/2020,SS316 Stainless Steel,M001,Metals,2.34,85,S002,10,0.9,kg
9/23/2020,SS316 Stainless Steel,M001,Metals,2.27,114,S007,10,0.8,kg
9/24/2020,SS316 Stainless Steel,M001,Metals,2.28,103,S003,10,0.85,kg
9/25/2020,SS316 Stainless Steel,M001,Metals,2.3,106,S010,10,0.75,kg
9/26/2020,SS316 Stainless Steel,M001,Metals,2.19,131,S001,10,0.95,kg
9/27/2020,SS316 Stainless Steel,M001,Metals,2.28,115,S007,10,0.54,kg
9/28/2020,SS316 Stainless Steel,M001,Metals,2.24,94,S006,10,0.88,kg
9/29/2020,SS316 Stainless Steel,M001,Metals,2.23,87,S008,10,0.96,kg
9/30/2020,SS316 Stainless Steel,M001,Metals,2.29,119,S004,10,0.98,kg
10/1/2020,SS316 Stainless Steel,M001,Metals,2.31,116,S001,10,0.95,kg
10/2/2020,SS316 Stainless Steel,M001,Metals,2.26,121,S002,10,0.9,kg
10/3/2020,SS316 Stainless Steel,M001,Metals,2.33,97,S010,10,0.75,kg
10/4/2020,SS316 Stainless Steel,M001,Metals,2.25,131,S007,10,0.8,kg
10/5/2020,SS316 Stainless Steel,M001,Metals,2.18,120,S009,10,0.87,kg
10/6/2020,SS316 Stainless Steel,M001,Metals,2.2,120,S008,10,0.96,kg
10/7/2020,SS316 Stainless Steel,M001,Metals,2.32,124,S007,10,0.8,kg
10/8/2020,SS316 Stainless Steel,M001,Metals,2.34,108,S008,10,0.96,kg
10/9/2020,SS316 Stainless Steel,M001,Metals,2.27,138,S001,10,0.95,kg
10/10/2020,SS316 Stainless Steel,M001,Metals,2.23,96,S001,10,0.95,kg
10/11/2020,SS316 Stainless Steel,M001,Metals,2.24,99,S005,10,0.92,kg
10/12/2020,SS316 Stainless Steel,M001,Metals,2.25,70,S004,10,0.98,kg
10/13/2020,SS316 Stainless Steel,M001,Metals,2.26,88,S008,10,0.96,kg
10/14/2020,SS316 Stainless Steel,M001,Metals,2.28,103,S009,10,0.87,kg
10/15/2020,SS316 Stainless Steel,M001,Metals,2.27,103,S001,10,0.95,kg
10/16/2020,SS316 Stainless Steel,M001,Metals,2.2,112,S001,10,0.95,kg
10/17/2020,SS316 Stainless Steel,M001,Metals,2.2,129,S007,10,0.65,kg
10/18/2020,SS316 Stainless Steel,M001,Metals,2.28,122,S004,10,0.98,kg
10/19/2020,SS316 Stainless Steel,M001,Metals,2.24,118,S004,10,0.98,kg
10/20/2020,SS316 Stainless Steel,M001,Metals,2.25,112,S008,10,0.96,kg
10/21/2020,SS316 Stainless Steel,M001,Metals,2.26,97,S001,10,0.95,kg
10/22/2020,SS316 Stainless Steel,M001,Metals,2.23,94,S003,10,0.85,kg
10/23/2020,SS316 Stainless Steel,M001,Metals,2.26,106,S005,10,0.92,kg
10/24/2020,SS316 Stainless Steel,M001,Metals,2.29,116,S001,10,0.95,kg
10/25/2020,SS316 Stainless Steel,M001,Metals,2.25,95,S001,10,0.95,kg
10/26/2020,SS316 Stainless Steel,M001,Metals,2.32,113,S010,10,0.75,kg
10/27/2020,SS316 Stainless Steel,M001,Metals,2.33,125,S010,10,0.41,kg
10/28/2020,SS316 Stainless Steel,M001,Metals,2.22,111,S009,10,0.87,kg
10/29/2020,SS316 Stainless Steel,M001,Metals,2.27,106,S003,10,0.85,kg
10/30/2020,SS316 Stainless Steel,M001,Metals,2.25,141,S007,10,0.8,kg
10/31/2020,SS316 Stainless Steel,M001,Metals,2.22,123,S002,10,0.9,kg
11/1/2020,SS316 Stainless Steel,M001,Metals,2.27,115,S010,10,0.75,kg
11/2/2020,SS316 Stainless Steel,M001,Metals,2.17,148,S003,10,0.85,kg
11/3/2020,SS316 Stainless Steel,M001,Metals,2.31,109,S001,10,0.95,kg
11/4/2020,SS316 Stainless Steel,M001,Metals,2.31,203,S008,10,0.96,kg
11/5/2020,SS316 Stainless Steel,M001,Metals,2.28,120,S007,10,0.8,kg
11/6/2020,SS316 Stainless Steel,M001,Metals,2.32,97,S005,10,0.92,kg
11/7/2020,SS316 Stainless Steel,M001,Metals,2.24,126,S005,10,0.92,kg
11/8/2020,SS316 Stainless Steel,M001,Metals,2.15,105,S006,10,0.88,kg
11/9/2020,SS316 Stainless Steel,M001,Metals,2.25,129,S001,10,0.95,kg
